id_book,page,start_time,duration
28,617,1784944612,60
28,617,1784944726,10
28,614,1784944360,52
28,609,1784943994,72
28,609,1784944074,52
28,618,1784944672,38
28,618,1784944721,5
28,618,1784944736,120
28,616,1784944529,83
28,615,1784944412,117
28,613,1784944305,55
28,610,1784944126,58
28,608,1784944066,8
28,622,1784945039,32
28,621,1784945014,25
28,623,1784945075,69
28,620,1784944934,72
28,620,1784945008,6
28,631,1784945785,6
28,631,1784945793,82
28,629,1784945627,74
28,626,1784945306,95
28,625,1784945220,86
28,624,1784945144,76
28,627,1784945401,120
28,628,1784945525,102
28,630,1784945701,84
28,638,1784946428,9
28,638,1784946449,86
28,636,1784946276,89
28,635,1784946199,77
28,632,1784945875,89
28,637,1784946365,63
28,637,1784946437,12
28,633,1784945964,94
28,633,1784946069,18
28,634,1784946058,11
28,634,1784946087,112
28,639,1784946535,119
28,639,1784946656,23
28,639,1784946698,65
28,639,1784946764,40
28,638,1784946679,19
28,644,1784947130,8
28,641,1784946907,120
28,640,1784946804,103
28,643,1784947082,43
28,643,1784947138,38
28,642,1784947037,45
28,655,1784948072,48
28,644,1784947203,75
28,653,1784947893,76
28,649,1784947576,52
28,649,1784947651,9
28,651,1784947729,97
28,646,1784947326,37
28,646,1784947383,25
28,652,1784947826,67
28,654,1784947969,65
28,654,1784948038,34
28,648,1784947456,49
28,648,1784947526,50
28,650,1784947628,23
28,650,1784947660,69
28,645,1784947278,48
28,647,1784947363,5
28,647,1784947371,12
28,647,1784947408,44
28,581,1784947515,10
28,643,1784947177,19
28,643,1784947198,5
28,582,1784947505,10
28,654,1784948120,6
28,636,1784948204,17
28,636,1784948224,6
28,636,1784948246,28
28,637,1784948230,16
28,652,1784948180,24
28,656,1784948148,5
28,656,1784948162,5
28,656,1784948281,120
28,655,1784948126,22
28,655,1784948153,9
28,655,1784948167,9
28,657,1784949083,72
28,658,1784949155,57
28,670,1784956126,69
28,665,1784955745,77
28,666,1784955822,74
28,661,1784955383,120
28,662,1784955511,70
28,669,1784956038,88
28,664,1784955686,59
28,667,1784955896,75
28,660,1784954344,120
28,660,1784955321,62
28,663,1784955581,105
28,668,1784955971,67
28,671,1784956195,77
28,673,1784956405,67
28,674,1784956472,106
28,677,1784956761,75
28,678,1784956836,120
28,672,1784956272,120
28,675,1784956578,79
28,676,1784956657,104
28,687,1785072735,79
28,685,1785072559,78
28,685,1785072686,8
28,686,1785072637,49
28,686,1785072694,41
28,680,1785072248,13
28,680,1785072293,10
28,682,1785072357,69
28,1371,1785072814,39
28,679,1785072034,120
28,679,1785072261,32
28,684,1785072494,65
28,683,1785072426,68
28,681,1785072303,54
28,693,1785073502,78
28,693,1785073594,41
28,693,1785073707,5
28,694,1785073635,72
28,694,1785073718,23
28,688,1785072983,15
28,688,1785073003,48
28,691,1785073172,91
28,687,1785072948,35
28,687,1785072998,5
28,1371,1785072863,85
28,695,1785073741,73
28,689,1785073051,73
28,690,1785073124,48
28,692,1785073263,120
28,692,1785073580,14
28,702,1785074363,58
28,697,1785073915,32
28,697,1785073986,28
28,698,1785074112,46
28,692,1785074027,5
28,692,1785074061,28
28,691,1785074032,29
28,700,1785074224,63
28,696,1785073814,101
28,1373,1785073947,39
28,699,1785074099,13
28,699,1785074158,66
28,706,1785074664,85
28,705,1785074579,14
28,705,1785074595,69
28,704,1785074494,85
28,703,1785074421,73
28,701,1785074287,76
28,1376,1785074889,6
28,707,1785074749,85
28,711,1785075094,120
28,711,1785075290,120
28,710,1785074990,6
28,710,1785074999,47
28,710,1785075055,39
28,709,1785074923,67
28,709,1785075046,9
28,708,1785074834,55
28,708,1785074895,28
28,715,1785076360,53
28,712,1785076154,72
28,718,1785076531,83
28,716,1785076413,57
28,714,1785076280,80
28,711,1785076141,13
28,713,1785076226,54
28,717,1785076470,61
28,719,1785076614,120
29,1,1785079962,40
29,3,1785080006,26
29,3,1785080131,9
29,4,1785080032,9
29,5,1785080043,78
29,5,1785080142,80
29,6,1785080222,62
29,7,1785080284,120
29,8,1785080413,13
29,8,1785080430,120
29,8,1785080679,96
29,7,1785081682,120
29,8,1785081823,13
29,8,1785081872,48
29,9,1785081836,36
29,10,1785081922,120
29,10,1785082154,6
29,11,1785082044,21
29,11,1785082066,49
29,12,1785082119,31
29,12,1785082161,19
29,12,1785082181,6
29,13,1785082187,8
29,13,1785082198,21
29,14,1785155102,18
29,15,1785155120,71
29,15,1785155192,13
29,16,1785155205,105
29,17,1785155310,81
29,18,1785155396,100
29,18,1785155498,120
29,19,1785155635,92
29,20,1785155727,102
29,20,1785155833,8
29,21,1785155845,99
29,22,1785155949,120
29,23,1785156090,120
29,27,1785156790,120
29,26,1785156631,120
29,25,1785156522,5
29,25,1785156529,102
29,24,1785156385,120
29,28,1785156917,120
29,32,1785157408,120
29,31,1785157274,120
29,29,1785157060,94
29,30,1785157154,120
29,33,1785157580,120
29,34,1785157989,25
29,34,1785158037,66
29,37,1785158237,120
29,33,1785158014,23
29,35,1785158103,76
29,36,1785158179,58
29,37,1785160113,120
29,37,1785161616,120
